metric,count,mean,std,min,25%,50%,75%,max
confidencegoodprompt,16.0,0.8422373501249999,0.0602555983226822,0.7220542925,0.8383737462,0.8650407719,0.8650407719,0.9112420049
confidencebadprompt,5.0,0.58165988046,0.045012802427996004,0.5168199344,0.5721223076,0.574026985,0.6087311273,0.636599048
confidencegoodfile,9.0,0.8144050763444445,0.07196034766691256,0.71217039,0.7744033071,0.8236030317,0.8326425569,0.9365912219
confidencebadfile,7.0,0.7430080975571428,0.2584265357917471,0.3749237792,0.57949354115,0.6671458214,1.0,1.0
