metric,count,mean,std,min,25%,50%,75%,max
confidencegoodprompt,16.0,0.8295701385062499,0.06189134384566594,0.7220542925,0.7662751587,0.8650407719,0.8650407719,0.899225095
confidencebadprompt,7.0,0.5699698965000001,0.05735430379516816,0.4840896276,0.5345014591,0.574026985,0.6038002898,0.6550691651
confidencegoodfile,5.0,0.7545493413000001,0.03413173724220098,0.7127907663,0.7236761159,0.7715717764,0.7743852328,0.7903228151
confidencebadfile,10.0,0.71015939847,0.21196050277828163,0.4653274194,0.59968610975,0.6445574945000001,0.91678645535,1.0
